lake_id,period,region,dominant_landcover,nof_lake_type,lake_perimeter,lake_depth,lake_area,lake_number,lake_name,east_nzmg,north_nzmg,median_NH4N_mg/L^-1,band_classification_NH4N,exceeding_national_bottom_line_NH4N1.3,median_CHLA_mg/m^3,band_classification_CHLA,exceeding_national_bottom_line_CHLA12,median_SECCHI_metre,median_TN_mg/m^3,band_classification_TN,national_bottom_line_TN,exceeding_national_bottom_line_TN,median_TP_mg/m^3,band_classification_TP,exceeding_national_bottom_line_TP50,median_TLI3,band_classification_TLI3
24724,2013-2017,West Coast,Native,Stratified,2003.48,28.73,189592.3,,,2433813,5955914,0.006867,A,FALSE,2.688636,B,FALSE,7.084644,214.7588,B,750,FALSE,5.869806,A,FALSE,2.840028,Oligotrophic (good)
24725,2013-2017,West Coast,Native,Stratified,1079.88,20.52,78926.38,,,2431934,5957077,0.007083,A,FALSE,1.70107,A,FALSE,6.487593,246.8651,B,750,FALSE,11.2011,B,FALSE,2.656601,Oligotrophic (good)
24727,2013-2017,West Coast,Native,Polymictic,486.78,13.29,13345.81,,,2433629,5958110,0.007074,A,FALSE,3.495098,B,FALSE,7.76086,241.5731,A,800,FALSE,11.08816,B,FALSE,3.347473,Mesotrophic (average)
24728,2013-2017,West Coast,Native,Stratified,684.53,16,25797.63,,,2434147,5957509,0.006148,A,FALSE,4.122284,B,FALSE,7.997171,253.6962,B,750,FALSE,12.20178,B,FALSE,3.356713,Mesotrophic (average)
24729,2013-2017,West Coast,Native,Polymictic,397.08,11.89,10613,,,2437226,5956272,0.006501,A,FALSE,3.225253,B,FALSE,7.211535,243.929,A,800,FALSE,12.10036,B,FALSE,3.288936,Mesotrophic (average)
24734,2013-2017,West Coast,Native,Stratified,2230.72,30.47,74966.69,,,2440791,5962112,0.006972,A,FALSE,1.61436,A,FALSE,7.663448,316.5411,B,750,FALSE,8.895157,A,FALSE,3.393366,Mesotrophic (average)
24742,2013-2017,West Coast,Native,Stratified,1696.58,26.24,35218.75,,,2441934,5964016,0.005849,A,FALSE,2.650284,B,FALSE,5.796919,416.1783,C,750,FALSE,19.16494,B,FALSE,3.678668,Mesotrophic (average)
24746,2013-2017,West Coast,Native,Stratified,3997.76,41.87,225676.9,,,2431030,5972869,0.010321,A,FALSE,4.413318,B,FALSE,4.810436,494.5962,C,750,FALSE,15.73394,B,FALSE,3.550497,Mesotrophic (average)
24747,2013-2017,West Coast,Native,Polymictic,428.08,12.39,12079.44,,,2426592,5973687,0.009518,A,FALSE,6.107159,C,FALSE,2.534228,552.9213,C,800,FALSE,23.09508,C,FALSE,4.327441,Eutrophic (poor)
24750,2013-2017,West Coast,Native,Stratified,2792.31,34.43,126444.4,,,2435031,5975269,0.008574,A,FALSE,5.741748,C,FALSE,3.965467,573.4877,C,750,FALSE,21.64124,C,FALSE,4.028997,Eutrophic (poor)
24754,2013-2017,West Coast,Native,Stratified,684.66,16,13466.5,,,2438707,5986471,0.007567,A,FALSE,9.589253,C,FALSE,3.004421,579.4052,C,750,FALSE,23.98148,C,FALSE,4.408931,Eutrophic (poor)
24755,2013-2017,West Coast,Native,Stratified,745.54,16.77,18713.5,,,2441082,5985234,0.007839,A,FALSE,5.02629,C,FALSE,4.409726,478.4554,C,750,FALSE,19.96283,B,FALSE,4.006832,Eutrophic (poor)
24758,2013-2017,West Coast,Native,Polymictic,587.58,14.73,15536.5,,,2444094,5950747,0.006697,A,FALSE,2.909405,B,FALSE,7.408515,341.476,B,800,FALSE,10.86654,B,FALSE,3.568488,Mesotrophic (average)
24759,2013-2017,West Coast,Native,Stratified,660.18,15.69,15829.56,,,2443983,5951069,0.006782,A,FALSE,2.937,B,FALSE,7.408515,338.167,B,750,FALSE,10.68729,B,FALSE,3.564747,Mesotrophic (average)
24775,2013-2017,West Coast,Native,Polymictic,440.88,12.59,10668.44,,,2456010,5952734,0.006376,A,FALSE,2.343514,B,FALSE,7.366941,322.627,B,800,FALSE,12.59558,B,FALSE,3.563326,Mesotrophic (average)
